Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
212,Kungurtug,50.5994,97.5228,66.24,27,3,0.85,RU,1622686338,
220,Farah,32.5,62.5,85.59,11,0,3.87,AF,1622686340,هوتل خرما
347,Atocha,-20.9333,-66.2333,41.27,21,63,2.91,BO,1622686379,Hotel Norihta
366,Adwa,14.1646,38.8955,69.51,27,83,2.57,ET,1622686385,Obelisk Hotel Axum
382,Rāvar,31.2656,56.8055,85.41,11,0,2.84,IR,1622686389,
389,Riyadh,24.6877,46.7219,86.05,12,0,3.44,SA,1622686238,"The Ritz-Carlton, Riyadh"
392,Jinchang,38.4953,102.1739,64.89,11,53,3.96,CN,1622686392,Jinchuan Hotel
397,Zhangye,38.9342,100.4517,68.81,11,1,2.8,CN,1622686394,Huachen International Hotel Zhangye
402,Korla,41.7597,86.1469,84.61,17,4,4.09,CN,1622686395,The Garden Hotel Korla
448,Nizwá,22.9333,57.5333,87.57,17,39,2.17,OM,1622686409,Alila Jabal Akhdar
511,Uyuni,-20.4597,-66.825,40.8,18,62,4.05,BO,1622686428,Hotel De Sal Luna Salada
574,Alekseyevsk,57.8406,108.3492,79.83,28,72,1.3,RU,1622686447,Гостиница/кв (дом Косыгина А.Н.)
