,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ilulissat,69.2167,-51.1,39.22,60,3,0.0,GL,1622686274
1,Bluff,-46.6,168.3333,49.8,76,76,7.38,NZ,1622686274
2,Indianola,41.3581,-93.5574,71.85,68,5,2.84,US,1622686275
3,Chicama,-7.8447,-79.1469,65.88,82,100,5.86,PE,1622686275
4,Hilo,19.7297,-155.09,82.13,66,20,9.22,US,1622686275
5,Atuona,-9.8,-139.0333,79.97,73,76,16.35,PF,1622686275
6,Fershampenuaz,53.5202,59.8117,55.67,81,94,9.17,RU,1622686276
7,Bredasdorp,-34.5322,20.0403,50.29,86,17,4.36,ZA,1622686276
8,Alofi,-19.0595,-169.9187,76.69,77,98,8.52,NU,1622686277
9,Rikitea,-23.1203,-134.9692,73.17,59,77,15.12,PF,1622686277
10,Watsa,3.0372,29.5355,63.63,99,100,2.68,CD,1622686277
11,Ushuaia,-54.8,-68.3,26.26,100,20,8.05,AR,1622686278
12,Scottsbluff,41.8666,-103.6672,74.52,63,1,3.44,US,1622686238
13,Albany,42.6001,-73.9662,63.3,93,100,3.47,US,1622686086
14,Darnah,32.767,22.6367,66.74,62,2,5.86,LY,1622686278
15,Avarua,-21.2078,-159.775,80.65,69,20,5.75,CK,1622686278
16,Yellowknife,62.456,-114.3525,64.56,59,100,5.23,CA,1622686168
17,Cherskiy,68.75,161.3,63.86,23,80,14.03,RU,1622686279
18,Bethel,41.3712,-73.414,64.85,78,1,3.44,US,1622686279
19,Gwadar,25.1216,62.3254,83.43,85,1,8.12,PK,1622686280
20,Puerto Ayora,-0.7393,-90.3518,73.54,88,32,5.01,EC,1622686280
21,Port Alfred,-33.5906,26.891,62.49,61,100,19.39,ZA,1622686280
22,Kaitangata,-46.2817,169.8464,55.38,65,44,4.41,NZ,1622686281
23,Castaños,26.7833,-101.4167,82.35,48,89,2.64,MX,1622686281
24,Saint Paul Harbor,57.79,-152.4072,47.71,81,90,6.91,US,1622686281
25,Dzilam González,21.2833,-88.9333,77.65,80,13,8.72,MX,1622686282
26,Point Pedro,9.8167,80.2333,85.12,74,100,15.03,LK,1622686280
27,Kapaa,22.0752,-159.319,84.18,68,20,1.99,US,1622686282
28,Kitimat,54.0524,-128.6534,61.18,97,100,4.65,CA,1622686282
29,Kenitra,34.261,-6.5802,63.84,85,32,1.34,MA,1622686283
30,Carnarvon,-24.8667,113.6333,60.87,72,100,14.97,AU,1622686283
31,Ambilobe,-13.2,49.05,72.3,75,99,2.86,MG,1622686283
32,Karlstadt am Main,49.9603,9.7722,60.62,82,100,1.83,DE,1622686284
33,Bolobo,-2.1667,16.2333,71.1,92,27,0.92,CD,1622686028
34,Cuauhtémoc,28.4167,-106.8667,62.73,43,93,16.51,MX,1622686284
35,Port-Gentil,-0.7193,8.7815,77.59,84,90,9.26,GA,1622686284
36,Bairiki Village,1.3292,172.9752,86.0,79,75,16.08,KI,1622686285
37,Codrington,-38.2667,141.9667,60.28,74,35,8.63,AU,1622686285
38,Hithadhoo,-0.6,73.0833,83.88,66,70,18.61,MV,1622686285
39,Saint-Philippe,-21.3585,55.7679,70.21,81,87,15.59,RE,1622686286
40,Cape Town,-33.9258,18.4232,58.87,67,0,1.99,ZA,1622686238
41,Sarkand,45.41,79.9186,80.89,33,82,4.07,KZ,1622686286
42,Fairbanks,64.8378,-147.7164,67.96,45,75,8.05,US,1622686286
43,Hermanus,-34.4187,19.2345,56.89,83,16,11.5,ZA,1622686287
44,Katsuura,35.1333,140.3,77.23,68,64,11.7,JP,1622686287
45,Qaanaaq,77.484,-69.3632,25.2,87,100,4.32,GL,1622686287
46,Barinas,8.6226,-70.2075,89.64,66,94,1.14,VE,1622686288
47,Hong Kong,22.2855,114.1577,91.96,76,100,8.99,HK,1622686151
48,Lubawa,53.5043,19.7497,51.4,69,56,6.11,PL,1622686212
49,Plettenberg Bay,-34.0527,23.3716,59.56,72,90,5.08,ZA,1622686288
50,Kapit,2.0167,112.9333,86.94,65,73,2.44,MY,1622686157
51,Jamestown,42.097,-79.2353,62.19,91,90,4.0,US,1622686231
52,Ballina,-28.8667,153.5667,67.95,76,89,9.19,AU,1622686289
53,Barrow,71.2906,-156.7887,30.22,74,90,21.85,US,1622686241
